District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
PA-09,Dan Meuser,(R),"119,969","261,281","386,871",31.0%,67.5%
PA-10,Scott Perry,(R),"188,632","205,148","399,568",47.2%,51.3%
PA-11,Lloyd Smucker,(R),"153,327","237,723","397,039",38.6%,59.9%
PA-12,OPEN,(D),"255,322","169,617","429,696",59.4%,39.5%
PA-13,John Joyce,(R),"107,198","288,121","400,132",26.8%,72.0%
PA-14,Guy Reschenthaler,(R),"138,892","268,695","412,038",33.7%,65.2%
PA-15,Glenn Thompson,(R),"119,459","263,001","387,754",30.8%,67.8%
PA-16,Mike Kelly,(R),"158,730","242,664","406,695",39.0%,59.7%
PA-17,OPEN,(D),"237,707","211,205","454,479",52.3%,46.5%
RI-01,David Cicilline,(D),"152,956","83,225","239,685",63.8%,34.7%
RI-02,OPEN,(D),"154,530","116,697","275,313",56.1%,42.4%
SC-01,Nancy Mace,(R),"171,781","204,848","383,006",44.9%,53.5%
SC-02,Joe Wilson,(R),"161,002","199,780","366,492",43.9%,54.5%
SC-03,Jeff Duncan,(R),"106,461","236,981","348,346",30.6%,68.0%
SC-04,William Timmons,(R),"138,171","202,545","347,082",39.8%,58.4%
SC-05,Ralph Norman,(R),"147,073","213,484","365,450",40.2%,58.4%
SC-06,Jim Clyburn,(D),"219,768","111,769","336,352",65.3%,33.2%
SC-07,OPEN,(R),"147,285","215,696","366,601",40.2%,58.8%
SD-AL,Dusty Johnson,(R),"150,471","261,043","422,609",35.6%,61.8%
TN-01,Diana Harshbarger,(R),"74,136","256,544","336,324",22.0%,76.3%
TN-02,Tim Burchett,(R),"122,695","226,798","356,264",34.4%,63.7%
